Date,Muscle Group,Workout,Exercise,Set,Weight (kg),Reps,Technique,Month,Notes,Program
26-Jan-2026,Shoulders,Upper 1A,BB Push Press,1,12.5,9,Staight,1,,Warrior
26-Jan-2026,Shoulders,Upper 1A,BB Push Press,2,12.5,8,Staight,1,,Warrior
26-Jan-2026,Shoulders,Upper 1A,BB Push Press,3,12.5,8,Staight,1,,Warrior
26-Jan-2026,Back,Upper 1A,Lat Pulldowns,1,60,10,Trap,1,65,Warrior
26-Jan-2026,Chest,Upper 1A,3D Crossovers,1,35,9,Straight,1,,Warrior
26-Jan-2026,Chest,Upper 1A,3D Crossovers,2,35,9,Straight,1,,Warrior
26-Jan-2026,Chest,Upper 1A,3D Crossovers,3,35,9,Straight,1,,Warrior
26-Jan-2026,Back,Upper 1A,Seated Cable Rows (Elbows Wide),1,75,10,Trap,1,,Warrior
26-Jan-2026,Shoulders,Upper 1A,DB Cheat Laterals,1,14,9,Straight,1,,Warrior
26-Jan-2026,Shoulders,Upper 1A,DB Cheat Laterals,2,14,9,Straight,1,,Warrior
26-Jan-2026,Shoulders,Upper 1A,DB Cheat Laterals,3,16,9,Straight,1,,Warrior
26-Jan-2026,Back,Upper 1A,Straight Arm Pushdowns,1,55,10,Trap,1,50,Warrior
26-Jan-2026,Chest,Upper 1A,Landmine Pushaway Presses,1,30,9,Straight,1,,Warrior
26-Jan-2026,Chest,Upper 1A,Landmine Pushaway Presses,2,30,9,Straight,1,,Warrior
26-Jan-2026,Chest,Upper 1A,Landmine Pushaway Presses,3,30,9,Straight,1,,Warrior
26-Jan-2026,Biceps,Upper 1A,Standing DB Curl,1,14,10,Trap,1,,Warrior
26-Jan-2026,Triceps,Upper 1A,Woodchopper Pushdowns,1,45,10,Straight,1,,Warrior
26-Jan-2026,Triceps,Upper 1A,Woodchopper Pushdowns,2,45,10,Straight,1,,Warrior
26-Jan-2026,Triceps,Upper 1A,Woodchopper Pushdowns,3,45,8,Straight,1,,Warrior
27-Jan-2026,Legs,Lower 1A,Alt. Reverse BB Lunges,1,15,8,Straight,1,,Warrior
27-Jan-2026,Legs,Lower 1A,Alt. Reverse BB Lunges,2,15,8,Straight,1,,Warrior
27-Jan-2026,Legs,Lower 1A,Alt. Reverse BB Lunges,3,15,8,Straight,1,,Warrior
27-Jan-2026,Legs,Lower 1A,BB Hip Thrusts,1,30,10,Trap,1,,Warrior
27-Jan-2026,Legs,Lower 1A,DB Bulgarian Split Squat Hops,1,12,8,Straight,1,,Warrior
27-Jan-2026,Legs,Lower 1A,DB Bulgarian Split Squat Hops,2,12,8,Straight,1,,Warrior
27-Jan-2026,Legs,Lower 1A,DB Bulgarian Split Squat Hops,3,12,8,Straight,1,,Warrior
27-Jan-2026,Legs,Lower 1A,Hamstring Curls,1,35,10,Trap,1,,Warrior
27-Jan-2026,Legs,Lower 1A,DB Spanish Squats,1,24,9,Straight,1,,Warrior
27-Jan-2026,Legs,Lower 1A,DB Spanish Squats,2,24,9,Straight,1,,Warrior
27-Jan-2026,Legs,Lower 1A,DB Spanish Squats,3,24,9,Straight,1,,Warrior
27-Jan-2026,Legs,Lower 1A,BB Calf Raises (Toes Out),1,30,10,Trap,1,25,Warrior
27-Jan-2026,Legs,Lower 1A,Seated Calf Raises,1,85,9,Straight,1,,Warrior
27-Jan-2026,Legs,Lower 1A,Seated Calf Raises,2,85,9,Straight,1,,Warrior
27-Jan-2026,Legs,Lower 1A,Seated Calf Raises,3,85,9,Straight,1,80,Warrior
29-Jan-2026,Back,Upper 2A,Power Pulldowns,1,75,8,Staight,1,,Warrior
